label_candidate,track_count,example_source_url,notes
LDNWHT,2,https://youtube.com/watch?v=wRCuT1d2F30,bracket suffix in track title only
AMEN002,2,https://youtube.com/watch?v=qQRGfpJZU1Q,bracket suffix in track title only
TOKEN48LP,2,https://youtube.com/watch?v=daZdvQvGTyM,bracket suffix in track title only
THEM003,2,https://youtu.be/bzGpQTOvg4o,bracket suffix in track title only
EARTOGROUND RECORDS,2,https://youtu.be/pG0SBeaYRa0,bracket suffix in track title only
Modularz,2,https://youtube.com/watch?v=KXD8MbCmC8Q,bracket suffix in track title only
DYSTOPIAN 004,2,https://youtube.com/watch?v=1WPR7EgYGBU,bracket suffix in track title only
STOCKHOLM LTD,2,https://youtube.com/watch?v=NdltNVxcF_I,bracket suffix in track title only
Stroboscopic Artefacts - SA002,2,https://youtube.com/watch?v=VvY3SDHkzj8,bracket suffix in track title only
RECLAIM YOUR CITY,2,https://youtube.com/watch?v=NPMkxeeyAUY#t=186,bracket suffix in track title only
INV009,2,https://youtube.com/watch?v=P1KLwgg8o8Y,bracket suffix in track title only
INF019,2,https://youtube.com/watch?v=IduLpTiU5Ls,bracket suffix in track title only
BLUEPRINT RECORDS,2,https://youtube.com/watch?v=35PpspELgCM,bracket suffix in track title only
Figure SPC K,2,https://youtube.com/watch?v=oItefL1SmRw,bracket suffix in track title only
Stroboscopic Artefacts SALP002 - SACD005,2,https://youtube.com/watch?v=9hPIcBBvE4Y,bracket suffix in track title only
ON RECORDS,2,https://youtube.com/watch?v=HFn1n6yIh8Y,bracket suffix in track title only
A&S 005,2,https://youtube.com/watch?v=XBUh5zEffaE,bracket suffix in track title only
Modularz 10.2,2,https://youtube.com/watch?v=V7hALiWETXQ,bracket suffix in track title only
Hush 01,2,https://youtube.com/watch?v=cguAMLEJIQE,bracket suffix in track title only
non003,2,http://youtube.com/watch?v=wAeEpy-RIMY,bracket suffix in track title only
DRH035,2,http://youtube.com/watch?v=05OXaYlfpkM,bracket suffix in track title only
3024,2,http://youtube.com/watch?v=vCynef5gILk,bracket suffix in track title only
Running Back,2,https://youtube.com/watch?time_continue=201&v=OdG6p_Pn5NU,bracket suffix in track title only
HF030,2,http://youtube.com/watch?v=1YPmLyArC8M,bracket suffix in track title only
Rush Hour,2,http://youtube.com/watch?v=60VxZ9m66ws,bracket suffix in track title only
Unterton,2,http://youtube.com/watch?v=wmpFirzWLVo,bracket suffix in track title only
Personality,2,http://youtube.com/watch?v=1O8JOVv5UIA,bracket suffix in track title only
DEVELOPER006,1,https://youtu.be/HVEwL9dGFRc,bracket suffix in track title only
BOND,1,https://youtube.com/watch?v=N3Bk3h1h5Qs,bracket suffix in track title only
PRRUKLTDGGVSK,1,https://youtube.com/watch?v=dc-s_2cM8zg,bracket suffix in track title only
ICR005,1,https://youtube.com/watch?v=kVq68QOKWKk,bracket suffix in track title only
NON024,1,https://youtube.com/watch?v=0VJcuHDIRMo,bracket suffix in track title only
PHANTASY,1,https://youtu.be/maFNL8fkX5c,bracket suffix in track title only
DZR-000,1,https://youtu.be/NFFDp8iTLdc,bracket suffix in track title only
NST140,1,https://youtu.be/lQ0xp6HqwJU,bracket suffix in track title only
AQR006,1,https://youtube.com/watch?v=CpUPIfbf-1I,bracket suffix in track title only
FIGURE088,1,https://youtube.com/watch?v=f1ao1IUz0Cg,bracket suffix in track title only
Dekmantel,1,https://youtube.com/watch?v=BfLUPrQtpkk,bracket suffix in track title only
CIRQUE DU MINIMALISTE,1,https://youtube.com/watch?v=4L95Y3h6VP4,bracket suffix in track title only
K002,1,https://youtu.be/2RnRH3-294s,bracket suffix in track title only
POLEGROUP044,1,https://youtu.be/9vzGszZ5TTg,bracket suffix in track title only
SPAZIO001,1,https://youtube.com/watch?v=eX_wMW0MgY0,bracket suffix in track title only
AMTK005,1,https://youtu.be/P0oRUQZnZNE,bracket suffix in track title only
DKMNTL050,1,https://youtube.com/watch?v=ngS9a5qQ0LM,bracket suffix in track title only
MORD017,1,https://youtube.com/watch?v=OR-FHh5pjqY,bracket suffix in track title only
Mord 014,1,https://youtu.be/T1S-RRxxIDg,bracket suffix in track title only
MORD042,1,https://youtube.com/watch?v=p1T1dVVl5CY,bracket suffix in track title only
ARTS027,1,https://youtube.com/watch?v=eH2r1fz9ydk,bracket suffix in track title only
SK11004,1,https://youtube.com/watch?v=6RZJJeAPkCA&t=265s,bracket suffix in track title only
1994,1,https://youtube.com/watch?v=R9K8qlGmLXA,bracket suffix in track title only
official,1,https://youtube.com/watch?v=WPw7nlluRdc,bracket suffix in track title only
Persephonic Sirens 01,1,https://youtube.com/watch?v=i0U_mIhkTqE,bracket suffix in track title only
SG1777,1,https://youtube.com/watch?v=JBHcAd8Nhws,bracket suffix in track title only
MDG006,1,https://youtube.com/watch?v=jS7SZbHUJ0M,bracket suffix in track title only
STEIN001,1,https://youtube.com/watch?v=U4MZfOulxpQ,bracket suffix in track title only
Mord 001,1,https://youtube.com/watch?v=N8LLm9Jx4fw,bracket suffix in track title only
DECOY020,1,https://youtube.com/watch?v=u9dX6z_BrCs,bracket suffix in track title only
MPM29,1,https://youtube.com/watch?v=BlsjrKO_ZXA,bracket suffix in track title only
BP49,1,https://youtube.com/watch?v=57oHBTIfgDk&t=160s,bracket suffix in track title only
INFORMA010,1,https://youtube.com/watch?v=InnAuFe924g,bracket suffix in track title only
O-TON91,1,https://youtu.be/LzKs35EpCfU,bracket suffix in track title only
LEYLA 006,1,https://youtu.be/sGwsVJBJrJg,bracket suffix in track title only
PRBL007,1,https://youtube.com/watch?v=fKY6MSBnG1g,bracket suffix in track title only
JANICE001,1,https://youtu.be/6oWbblsGWmw,bracket suffix in track title only
STEIN001 | NovaFuture Blog Track Premiere,1,https://youtu.be/KYSFYveSIw8,bracket suffix in track title only
AMTK003,1,https://youtu.be/ZmDEu7DYt3w,bracket suffix in track title only
ELECTRIX010,1,https://youtube.com/watch?v=KbdTwuikVPM,bracket suffix in track title only
Drumcode Limited,1,https://youtube.com/watch?v=kJjh6T4sDKg,bracket suffix in track title only
o-ton100,1,https://youtube.com/watch?v=pkLzHEZ7YVk,bracket suffix in track title only
BT002,1,https://youtube.com/watch?v=om7pFS6s7u0,bracket suffix in track title only
PRRUK104,1,https://youtu.be/F1RFLL0Aqkc,bracket suffix in track title only
TSL008,1,https://youtube.com/watch?v=lP0b9j-ja6I,bracket suffix in track title only
ARTSCOLLECTIVE010,1,https://youtube.com/watch?v=9bsgpwjf86s&feature=youtu.be,bracket suffix in track title only
Alien Rain VI,1,https://youtube.com/watch?v=VxJPM17-tXs,bracket suffix in track title only
RH1,1,https://youtube.com/watch?v=i0MLetcsm0E,bracket suffix in track title only
POV002,1,https://youtube.com/watch?v=pLBcJ8--bds,bracket suffix in track title only
FIGURE084,1,https://youtu.be/j3_HGmprP7I,bracket suffix in track title only
POLEGROUP039,1,https://youtu.be/sjHYyvzMHGc,bracket suffix in track title only
The Hacker remix,1,https://youtu.be/ZFIfIK0s2BY,bracket suffix in track title only
OWNLIFE,1,https://youtube.com/watch?v=eiYdxN5dlPE,bracket suffix in track title only
ARTSCOLLECTIVE013,1,https://youtube.com/watch?v=bpOe7ei_Oro,bracket suffix in track title only
NE34,1,https://youtube.com/watch?v=U3i-T9h1X7g,bracket suffix in track title only
WCR017,1,https://youtu.be/T58KO_crGsU,bracket suffix in track title only
Power Vacuum 013,1,https://youtube.com/watch?v=UXOvDY2KbyM,bracket suffix in track title only
LAD029,1,https://youtu.be/1RoJhAA3MQo,bracket suffix in track title only
NONPLUS RECORDS,1,https://youtube.com/watch?v=S12POcCZz4M,bracket suffix in track title only
KA171,1,https://youtube.com/watch?v=7DKK6DP8dUc,bracket suffix in track title only
RK3,1,https://youtu.be/RkSod0QUswo,bracket suffix in track title only
FRACTURE004,1,https://youtube.com/watch?v=nuBVqey923A,bracket suffix in track title only
BLCS002,1,https://youtube.com/watch?v=AdGUTq891qs,bracket suffix in track title only
CRG007,1,https://youtu.be/3kT4lHrhxvc,bracket suffix in track title only
Stroboscoipc Artefacts SA5YEARS03,1,https://youtube.com/watch?v=0Qm7FdqBr8c,bracket suffix in track title only
Modul,1,https://youtu.be/fVrSGJi2_Zw,bracket suffix in track title only
SUBT101,1,https://youtube.com/watch?v=u4QCQgJBrCU,bracket suffix in track title only
TPN006,1,https://youtu.be/mMg5YOSBVqk,bracket suffix in track title only
Stroboscopic Artefacts SAM022,1,https://youtube.com/watch?v=BVxafpy7ieY,bracket suffix in track title only
SPORTIV001,1,https://youtube.com/watch?v=2Lv_qg9iKtA,bracket suffix in track title only
