Artist,Role,Labels,NotableEvents,Notes
nd_baumecker,DJ,Ostgut Ton,13.01.2024 Klubnacht; 17.02.2024 Klubnacht; 16.03.2024 Klubnacht; 20.04.2024 Klubnacht,"Top 50 Panorama Bar rank 1; 18 appearances; years 2024,2025,2026."
Richard Akingbehin,DJ,Refuge Worldwide,10.02.2024 Klubnacht; 08.06.2024 Klubnacht; 13.07.2024 Klubnacht; 21.09.2024 Klubnacht,"Top 50 Panorama Bar rank 2; 13 appearances; years 2024,2025,2026."
BASHKKA,DJ,,03.02.2024 Klubnacht; 06.04.2024 Klubnacht; 27.07.2024 CSD Klubnacht; 07.09.2024 Klubnacht,"Top 50 Panorama Bar rank 3; 12 appearances; years 2024,2025,2026."
Gerd Janson,DJ,Running Back,13.04.2024 Klubnacht; 22.06.2024 Klubnacht; 12.10.2024 Klubnacht; 30.11.2024 Klubnacht,"Top 50 Panorama Bar rank 4; 12 appearances; years 2024,2025,2026."
Mike Starr,DJ,,27.01.2024 Klubnacht; 25.05.2024 Klubnacht; 07.09.2024 Klubnacht; 09.11.2024 Klubnacht,"Top 50 Panorama Bar rank 5; 12 appearances; years 2024,2025,2026."
Ogazón,DJ,Faith Beat,27.01.2024 Klubnacht; 16.03.2024 Klubnacht; 18.05.2024 Klubnacht; 10.08.2024 Klubnacht,"Top 50 Panorama Bar rank 6; 12 appearances; years 2024,2025,2026."
Paramida,DJ,Love On The Rocks,10.02.2024 Klubnacht; 23.03.2024 Klubnacht; 13.04.2024 Klubnacht; 18.05.2024 Klubnacht,"Top 50 Panorama Bar rank 7; 12 appearances; years 2024,2025,2026."
Cinthie,DJ,803 Crystal Grooves,09.03.2024 Klubnacht; 06.07.2024 Klubnacht; 05.10.2024 Klubnacht; 11.01.2025 Klubnacht,"Top 50 Panorama Bar rank 8; 11 appearances; years 2024,2025,2026."
Gabrielle Kwarteng,DJ,,27.01.2024 Klubnacht; 30.03.2024 Oster Klubnacht; 27.07.2024 CSD Klubnacht; 16.11.2024 Klubnacht,"Top 50 Panorama Bar rank 9; 11 appearances; years 2024,2025,2026."
Lakuti,DJ,Uzuri; Ostgut Ton,09.03.2024 Klubnacht; 27.04.2024 Klubnacht; 27.07.2024 CSD Klubnacht; 05.10.2024 Klubnacht,"Top 50 Panorama Bar rank 10; 11 appearances; years 2024,2025,2026."
Massimiliano Pagliara,DJ,Funnuvojere,20.01.2024 Klubnacht; 24.02.2024 Klubnacht; 23.03.2024 Klubnacht; 11.05.2024 Klubnacht,"Top 50 Panorama Bar rank 11; 11 appearances; years 2024,2025,2026."
Roi Perez,DJ,Ostgut Ton,27.01.2024 Klubnacht; 02.03.2024 Klubnacht; 13.04.2024 Klubnacht; 27.07.2024 CSD Klubnacht,"Top 50 Panorama Bar rank 12; 11 appearances; years 2024,2025,2026."
Soundstream,DJ,Soundstream,10.02.2024 Klubnacht; 06.04.2024 Klubnacht; 18.05.2024 Klubnacht; 24.08.2024 Klubnacht,"Top 50 Panorama Bar rank 13; 11 appearances; years 2024,2025,2026."
Cormac,DJ,Polari,20.01.2024 Klubnacht; 29.06.2024 Klubnacht; 27.07.2024 CSD Klubnacht; 21.09.2024 Klubnacht,"Top 50 Panorama Bar rank 14; 10 appearances; years 2024,2025."
