track_id,track_artist,track_title,dj_mention,post_id,page,date,text,confidence,notes
16,Shlømo,Vertigo [ICR005],Etapp Kyle,1526,Berghain Music,2017-02-06,Etapp Kyle.,high,extracted from post message only
18,Carl Craig,At les,RØDHÅD / Last Beautiful 💖,20,Berghain Music,2017-08-07,RØDHÅD  / Last Beautiful 💖,high,extracted from post message only
18,Carl Craig,At les,Ben Klock almost last,3500,Berghain Music,2016-06-20,Ben Klock almost last.,high,extracted from post message only
18,Carl Craig,At les,PVS,4838,Berghain Music,2016-01-18,PVS,high,extracted from post message only
18,Carl Craig,At les,Lawrence last track at Dial Night last friday,22141,Panorama Bar Music,2011-09-16,"Lawrence
last track at Dial Night last friday",high,extracted from post message only
19,Dyad,Social Dividend,Kyle Geiger,21,Berghain Music,2017-08-07,Kyle Geiger,high,extracted from post message only
19,Dyad,Social Dividend,Henning Baer,3130,Berghain Music,2016-08-08,Henning Baer,high,extracted from post message only
20,Blaze,Lovelee Dae (Eight Miles High remix) 45,Kyle Geiger <3 <3 <3,22,Berghain Music,2017-08-07,Kyle Geiger <3 <3 <3,high,extracted from post message only
20,Blaze,Lovelee Dae (Eight Miles High remix) 45,Paul Trafford 02.10.2016,2323,Berghain Music,2016-10-25,Paul Trafford 02.10.2016,high,extracted from post message only
20,Blaze,Lovelee Dae (Eight Miles High remix) 45,NYD…,17901,Panorama Bar Music,2014-01-10,NYD…..,high,extracted from post message only
21,Gerd,Palm leaves (Deetron remix),Kyle Geiger,23,Berghain Music,2017-08-07,Kyle Geiger,high,extracted from post message only
21,Gerd,Palm leaves (Deetron remix),Fiedel,8427,Berghain Music,2014-08-19,Fiedel,high,extracted from post message only
21,Gerd,Palm leaves (Deetron remix),Stefan Hill,19193,Panorama Bar Music,2013-02-25,Stefan Hill.,high,extracted from post message only
21,Gerd,Palm leaves (Deetron remix),ND,19512,Panorama Bar Music,2013-01-03,ND,high,extracted from post message only
22,Ritzi Lee,Reverse Processed,Kyle Geiger,24,Berghain Music,2017-08-07,Kyle Geiger,high,extracted from post message only
22,Ritzi Lee,Reverse Processed,Somewhen,2848,Berghain Music,2016-09-04,Somewhen,high,extracted from post message only
22,Ritzi Lee,Reverse Processed,DJ NOBU (OFFICIAL),4597,Berghain Music,2016-02-08,DJ NOBU (OFFICIAL),medium,extracted from post message only
22,Ritzi Lee,Reverse Processed,Master Luke Slater,4929,Berghain Music,2016-01-03,Master Luke Slater,high,extracted from post message only
22,Ritzi Lee,Reverse Processed,Robert Hood,8033,Berghain Music,2014-10-26,Robert Hood,high,extracted from post message only
22,Ritzi Lee,Reverse Processed,DVS1 * this track always soulful on the dance floor *,10207,Berghain Music,2013-09-30,DVS1 * this track always soulful on the dance floor *,medium,extracted from post message only
22,Ritzi Lee,Reverse Processed,Marcel,10935,Berghain Music,2013-04-15,Marcel,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],Kyle Geiger <3,25,Berghain Music,2017-08-07,Kyle Geiger <3,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],Etapp Kyle,1867,Berghain Music,2017-01-02,Etapp Kyle,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],>Inigo Kennedy <3,2200,Berghain Music,2016-11-15,>Inigo Kennedy <3,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],Emmanuel Top,4224,Berghain Music,2016-03-28,Emmanuel Top,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],DJ NOBU (OFFICIAL) <3,4586,Berghain Music,2016-02-08,DJ NOBU (OFFICIAL) <3,medium,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],Freddy k😍,4774,Berghain Music,2016-01-19,Freddy k😍,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],>Volte-Face,5172,Berghain Music,2015-12-07,>Volte-Face,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],DJ NOBU (OFFICIAL) & Etapp Kyle,6154,Berghain Music,2015-07-28,DJ NOBU (OFFICIAL) & Etapp Kyle,medium,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],Etapp Kyle,6178,Berghain Music,2015-07-27,Etapp Kyle,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],Héctor Oaks himself,6825,Berghain Music,2015-04-20,Héctor Oaks himself,high,extracted from post message only
23,Héctor Oaks,Solarmental [Sonntag Morgen],Héctor Oaks last track,7526,Berghain Music,2015-01-07,Héctor Oaks last track,high,extracted from post message only
24,Jay Denham,Pride (it`s time),Kyle Geiger !,26,Berghain Music,2017-08-07,Kyle Geiger !,high,extracted from post message only
24,Jay Denham,Pride (it`s time),Psyk,1025,Berghain Music,2017-04-10,Psyk,high,extracted from post message only
24,Jay Denham,Pride (it`s time),Efdemin:),6441,Berghain Music,2015-06-15,Efdemin:),high,extracted from post message only
24,Jay Denham,Pride (it`s time),Efdemin,7295,Berghain Music,2015-02-17,Efdemin,high,extracted from post message only
24,Jay Denham,Pride (it`s time),Ed Davenport,8326,Berghain Music,2014-09-01,Ed Davenport,high,extracted from post message only
24,Jay Denham,Pride (it`s time),Ed Davenport & ACR,8819,Berghain Music,2014-06-10,Ed Davenport & ACR,high,extracted from post message only
24,Jay Denham,Pride (it`s time),"Dj deep, finally i can heard it at berghain",9089,Berghain Music,2014-04-15,"Dj deep, finally i can heard it at berghain.",high,extracted from post message only
24,Jay Denham,Pride (it`s time),Inland,11086,Berghain Music,2013-03-05,Inland,high,extracted from post message only
25,Tadeo,The Big Step (Function Remix) [NON024],Taku Hirayama,27,Berghain Music,2017-08-07,Taku Hirayama,high,extracted from post message only
25,Tadeo,The Big Step (Function Remix) [NON024],Setaoc Mass,323,Berghain Music,2017-06-26,Setaoc Mass,high,extracted from post message only
25,Tadeo,The Big Step (Function Remix) [NON024],Function,443,Berghain Music,2017-06-13,Function,high,extracted from post message only
25,Tadeo,The Big Step (Function Remix) [NON024],Joel Mull,566,Berghain Music,2017-06-05,Joel Mull,high,extracted from post message only
27,Rødhåd,Spomeniks,RØDHÅD,29,Berghain Music,2017-08-07,RØDHÅD,high,extracted from post message only
27,Rødhåd,Spomeniks,pär grindvik,2934,Berghain Music,2016-08-29,pär grindvik,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Taku Hirayama,30,Berghain Music,2017-08-07,Taku Hirayama,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Rolando,73,Berghain Music,2017-07-31,Rolando,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Marcel dettmann & Steffi,3194,Berghain Music,2016-07-25,Marcel dettmann & Steffi,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Ben klock,3459,Berghain Music,2016-06-22,Ben klock,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Etapp Kyle,4624,Berghain Music,2016-02-02,Etapp Kyle,high,extracted from post message only
