track_id,name,artist,label,genre,bpm,key,confidence_score,is_outlier,outlier_reasons,rules_matched,rules_failed
117082484,A2 Kindness VINYL ONLY ,Howl Ensemble,TURQUOISE BLUE RECS,Deep House,126.0,Gm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
141072628,Endless Rotation VINYL ONLY ,C1 Cleymoore,Rotate,Minimal,126.0,Abm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
2795263,Bitter Sweat (Original Mix),Steve O'Sullivan,Convent,Deep House,128.0,Ebm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
134776835,So Inagawa - Sekito,,,,128.0,Abm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15,artist_in_flow_corpus
238633855,B2 Le Imagen VINYL ONLY ,Ion Ludwig,Trelik Records,Tech House,124.98,Fm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
16490557,A1 Gwen VINYL ONLY ,Rh.cher,SECRET SOCIETY CHILE,Minimal,128.0,Dm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
47578415,People Person (Original Mix),"Jon Sable, Kenny Sterling",In Dust We Trust,Deep House,129.0,Dm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
210793784,Would VINYL ONLY ,A1 Blind Box,Blind Box Series,Minimal,127.0,Dm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
1050745,Harmonic Scan VINYL ONLY,Altitude,Assemble Music,Minimal,124.98,Dm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
113684290,Infinity (Original Mix),Markus Suckut,SCKT,Techno (Raw / Deep / Hypnotic),128.0,Gm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
1659342,Future Self (Dub Mix) ,Camiel Daamen,Freeborn Records,Deep House,125.0,Gm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
91652987,Pinger (Original Mix) ,Youandewan,Eclipser Chaser,Minimal,125.0,Gm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
107329347,Coasm,IZA,Morris Audio,Techno (Raw / Deep / Hypnotic),124.0,Gm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
28989853,Control (Steve O'Sullivan Reconstruction),"Tikiman, Rhauder, Paul St. Hilaire",Sushitech,Deep House,126.0,Am,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
163291768,B1 Monoliza VINYL ONLY ,Silat Beksi,Afterhours,Minimal,125.98,Em,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
246599217,B2 Phobos VINYL ONLY ,RQZ,Afterhours,Minimal,125.94,Em,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
40448496,A1 Sublevels VINYL ONLY ,RQZ,Afterhours,Minimal,124.63,Em,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
85397030,A1 I Figured Out A Way To Be Outside VINYL ONLY ,Vlad Arapasu,Afterhours,Minimal,124.74,Abm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
164925442,Echolocation,Chaos In the CBD,In Dust We Trust,Deep House,128.0,Bbm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
194119314,Never (Dub) VINYL ONLY,Brudan,Eclipser Chaser,Deep House,125.92,Bbm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
124772853,Greenhill Hook VINYL ONLY ,Nick Beringer & Philipp Boston,Certain Circles,Tech House,126.97,Bbm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
22043784,B2 Elephant Dream VINYL ONLY ,Silat Beksi,Afterhours,Minimal,124.01,Fm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
189471075,Shinshi (Cabanne Remix),Karcelen,Dreams On Wax,Minimal,128.0,Fm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
59037344,Wanaka (Audio Werner Remix),Karcelen,Dreams On Wax,Minimal,125.0,Ebm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
185807074,Greenhill Hook VINYL ONLY ,Nick Beringer & Philipp Boston,Certain Circles,Tech House,126.97,Bbm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
223273238,A1 Infinite O’Clock VINYL ONLY ,Silat Beksi,Afterhours,Minimal,126.99,Abm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
