track_artist,track_title,count,post_count,first_seen,last_seen,source_url
Planetary Assault Systems,Dungeon P.A.S. 1997 Original [MOTE046],1,1,2016-07-18,2016-07-18,https://youtube.com/watch?v=rWUrepUi4sQ
MarkyZ,She Lost Control [ Original Mix ] Preview by MarkyZ,1,1,2016-07-15,2016-07-15,https://soundcloud.com/dj-markyz/markyz-she-s-lost-control-original-mix
,The Knife Silent Shout,7,7,2014-09-01,2016-07-18,https://youtube.com/watch?v=4uI1KXHJVO8
,Nothing Left To Fear by Opål,2,2,2015-08-31,2016-07-12,https://soundcloud.com/opal-berlin/nothing-left-to-fear
Transition,Underground Resistance,5,5,2015-02-03,2016-07-11,https://youtube.com/watch?v=rqdrtzCaSHw
,Plastikman Ping Pong,1,1,2016-07-11,2016-07-11,https://youtube.com/watch?v=0wJHvOaJdi0
The Advent,Bad Boy,1,1,2016-07-11,2016-07-11,https://youtube.com/watch?v=ehHiL-76zzM
Mark Broom,Sixty Six (TWR72 Remix) [BEARD MAN],1,1,2016-07-18,2016-07-18,https://youtu.be/EkuQYRrT0wU
Martin Buttrich,Stoned Autopilot,4,4,2011-01-17,2016-07-11,https://youtube.com/watch?v=v88m2AF0xhc
Ignacio,Virton,3,3,2013-02-10,2016-07-11,https://youtube.com/watch?v=rpITa9c9wvw
ignacio,ORGANA,4,4,2013-08-19,2016-07-11,https://youtube.com/watch?v=vw34LjoaTJ0
Envoy,Dark Manoeuvres (Slam Remix) [Soma Records],4,4,2015-02-09,2016-07-11,https://youtu.be/6pWVD77BXws
Auden,Lock In  [HFT039],3,3,2015-10-25,2016-07-11,https://youtu.be/Poenk9JVJ-0
,"Robert Armani ""Blow That Shit Out (Joey Beltram Mix)",3,3,2013-12-16,2016-07-11,https://youtube.com/watch?v=KTiw-fiO4wk
Kapoor,Vision,2,2,2016-03-29,2016-07-11,https://youtu.be/WCbs0H7orjg
Ottodox,Fortune in my arms,2,2,2016-03-21,2016-07-10,https://youtu.be/VgeYMS2kW0Q
Vril,Vortekz,2,2,2016-06-06,2016-07-10,https://youtube.com/watch?v=YAJ23ltYBb8
Bjarki,I Wanna Go Bang [TRIP003],11,11,2015-07-27,2016-07-09,https://youtube.com/watch?v=pvEdwl88J2U
Sosak,Buy This Wreck,2,2,2015-11-30,2016-07-06,https://youtu.be/VyPqFsDzVgI
FLR02,A2 - Daito - Breach by 712 Distribution,1,1,2016-07-05,2016-07-05,https://soundcloud.com/712-distribution/flr02-a2-daito-breach
Cleric,Concrete (Original Mix) [INFRASTRUCTURE NEW YORK],1,1,2016-07-05,2016-07-05,https://youtu.be/Q7M5TGCa09A
Mark Broom,Vault 5,4,4,2012-11-05,2016-07-04,https://youtube.com/watch?v=lBC1sAeyXh8
Mike Dearborn,Deviant Behaviour (Instrumental Mix)  (1993),2,2,2016-02-27,2016-07-04,https://youtube.com/watch?v=JrjLxfSII1U
Dj Shufflemaster,Slip inside you,2,2,2013-05-20,2016-07-04,https://youtube.com/watch?v=SWCORQndd5I
Marcel Dettmann,Push,2,2,2013-09-09,2016-07-04,http://youtu.be/dODlZQavcjE
Delta Funktionen,A Drone Killed My Bunny,1,1,2016-07-04,2016-07-04,http://youtu.be/gzuoGKFNUZw
Gareth Wild,Duster (Original Mix) [EARTOGROUND RECORDS],1,1,2016-07-04,2016-07-04,https://youtu.be/pG0SBeaYRa0
Mark Broom,133,1,1,2016-07-04,2016-07-04,https://youtube.com/watch?v=26-WUnz9zN8
Sawf,Rota,2,2,2016-06-27,2016-07-04,https://youtube.com/watch?v=qtdTXUzjOz8
Ø [Phase],Burden Of Proof (Original Mix) [TOKEN],7,7,2014-09-07,2016-07-04,https://youtube.com/watch?v=JhzSE2V-rUQ
Planetary Assault Systems,Pow Wow,3,3,2011-10-31,2016-07-04,https://youtube.com/watch?v=epNcBRpvrck
Arnaud Le Texier,Bolton [DSTRT001],1,1,2016-07-04,2016-07-04,https://youtube.com/watch?v=vtbLYMvAE1Y
Robert Hood,The Family (Original Mix),5,5,2012-10-28,2016-07-04,https://youtube.com/watch?v=vDrprBAx3_k
Green Velvet,Help Me,2,2,2014-07-21,2016-07-10,https://youtube.com/watch?v=9zPWZeXtUTU
Floorplan,Never Grow Old,12,12,2013-08-12,2016-07-04,https://youtube.com/watch?v=yRBJDJx_sjg
Mark Broom & James Ruskin,Hostage,8,8,2011-09-27,2016-07-04,https://youtube.com/watch?v=i-GOpMg2rbI&nohtml5=False
Planetary Assault Systems,Black Tea,3,3,2013-09-29,2016-07-04,https://youtube.com/watch?v=qQD9t42dU9U
Ricardo Villalobos,Logohitz,2,2,2016-07-03,2016-08-16,https://youtube.com/watch?v=Rlv6LtgKqjs
Nina Kraviz & Luke Hess,Remember (Epic Moment Mix),5,5,2013-12-17,2016-07-01,https://youtube.com/watch?v=C-VXxug56KI
Dax J,Wir Leben Für Die Nacht,3,3,2016-04-05,2016-06-28,https://youtu.be/CPI9VSvgrds
Sleeparchive,Window - 057 (Oscar Mulero Remix ) [Warm Up 41],1,1,2016-06-28,2016-06-28,https://youtube.com/watch?v=vWclcXZcZFw
Ø [Phase],Insectoid,4,4,2015-07-29,2016-06-28,https://youtube.com/watch?v=gR8fVbSIMOE
Jon Hopkins,"""Open Eye Signal"" (Official Music Video)",1,1,2016-06-28,2016-06-28,https://youtube.com/watch?v=Q04ILDXe3QE
Powell,Club Music (Ancient Methods 'Körpersäure91' Mix),2,2,2015-11-02,2016-06-27,https://youtu.be/dvjGvO_wGI8
James Ruskin,[A2]  Indirect World,2,2,2016-03-07,2016-06-27,https://youtube.com/watch?v=Uw7AxJjlEcE
Yello,Oh Yeah (Dance Mix) 1986,1,1,2016-06-27,2016-06-27,https://youtube.com/watch?v=MhJjd02J8Qo
Surgeon,Sleep (Ultra Violet),1,1,2016-06-27,2016-06-27,https://youtube.com/watch?v=IioZVPuMpHA
Heiko Laux,Re-Televised (Lucy Remix),3,3,2013-11-18,2016-06-27,https://youtu.be/ENjzk6WmnSU
Stefan Vincent,I Would Give Anything to Feel Nothing - STHLM LTD 034,5,5,2015-03-30,2016-06-27,https://youtube.com/watch?v=S9UEjyWVIr8
The Aztec Mystic,Knights of the Jaguar,5,5,2014-06-22,2016-06-27,https://youtube.com/watch?v=C6xVKcvze74
Drumcell,Disturbance (Pfirter Remix II),5,5,2014-12-15,2016-06-26,https://youtube.com/watch?v=VXTannoiTwk
Antigone,Night Adrift [TOKEN59],2,2,2016-05-30,2016-06-26,https://youtu.be/HIAZIoGB3CY
ORYX 9,Ultraviolet (Light Of Tsih),1,1,2016-06-22,2016-06-22,https://youtube.com/watch?v=6NHp-QE8rI4
Ben Klock,Check For Pulse (Original Mix),6,6,2013-06-24,2016-06-21,https://youtube.com/watch?v=PknlnswLLWU
THE HORRORIST,Flesh is the Fever,2,2,2015-12-14,2016-06-21,https://youtube.com/watch?v=q4OKZV7XvqI
DVS1,Zak khutoretsky - Pressure - Transmat MS98 Love under pressure,2,2,2011-01-31,2016-06-21,https://youtube.com/watch?time_continue=124&v=uUw6IJhwPeE
,Ron Trent- Altered States (Original Mix),4,4,2012-08-06,2016-06-20,https://youtube.com/watch?v=XadNKJaDOBY
,EDMX CERBERUS,2,2,2012-10-08,2016-06-20,https://youtube.com/watch?v=fFB_eG_cWyQ
Truss,Beacon,14,14,2013-08-11,2016-06-20,https://youtube.com/watch?v=RitYmaH-0c8
Johannes Heil,Die eigene Achse (Heiko Laux Rmx) (HQ Vinyl-Rip),1,1,2016-06-20,2016-06-20,https://youtube.com/watch?v=rYIrNOjrb4M
,Wihte Noise  Weißes Rauschen Anti Tinitus,1,1,2016-06-20,2016-06-20,https://youtube.com/watch?v=2P87NS63K94
Kirlian Camera,News,1,1,2016-06-20,2016-06-20,https://youtube.com/watch?v=h3mNNg0xrdk
,TYREE   NUTHIN WRONG,9,9,2013-01-21,2016-06-20,https://youtube.com/watch?v=xbSmhSYLDvs
Tim Wolff,Angular EP - BALANS007,6,6,2012-11-26,2016-06-20,https://youtube.com/watch?v=O4WHUrGNf3Y
,The Soft Moon // Without (Codex Empire Remix),2,2,2016-03-21,2016-06-20,https://youtube.com/watch?v=1tS4VpoSSeI
Terence Fixmer,Aktion Mekanik Theme (Kobosil 44 version),9,9,2015-07-13,2016-06-20,https://youtube.com/watch?v=AIP0sJvGyFo
Josh Wink,Denial (Planetary Assault Systems Remix) | OVUM,1,1,2016-06-20,2016-06-20,https://youtube.com/watch?v=awgK4vpM76s
Slam,Life Between Life,1,1,2016-06-20,2016-06-20,https://youtube.com/watch?v=Sl5yVI08UGw
Jeff Rushin,Coda [MOTE044],1,1,2016-06-20,2016-06-20,http://youtu.be/av1C6sR9Nps
John Tejada,Sucre,6,6,2014-09-14,2016-06-20,http://youtu.be/JdzRONZrKbQ
DVS1,Pressure,5,5,2010-09-29,2016-06-20,https://youtu.be/QtaJmqLlcqE
Mathew Jonson,Level 7 (Dixon Remix),2,2,2014-01-04,2016-06-20,http://youtu.be/QVOCEbc4WAc
Marcel Dettmann & Ben Klock,Dawning (Original Mix),2,2,2015-03-30,2016-06-20,https://youtube.com/watch?v=cfXYOqJI8VI
Inland,"""Acidalia""",1,1,2016-06-20,2016-06-20,https://youtu.be/r4N_jJWgWcE
Plukkk,K012 [SOMBRA002],2,2,2015-10-04,2016-06-19,https://youtube.com/watch?v=UVbrBiybtvo
Tommy Four Seven,131 (Original Mix) [47],2,2,2016-03-21,2016-06-19,https://youtube.com/watch?v=QaJRyQIpowA
Ben Klock,October,5,5,2013-10-14,2016-06-14,https://youtube.com/watch?v=ZTSwjRKzTrw
Volte-Face,Ill Fêted,2,2,2016-02-01,2016-06-14,https://youtube.com/watch?v=T4Vzb5EHz58&feature=youtu.be
Ctrls,The Disparates [TOKEN50] OFFICIAL VIDEO,2,2,2015-07-05,2016-06-14,https://youtube.com/watch?v=E8KDWdnlWEM
Amotik,Sau [47005],1,1,2016-06-14,2016-06-14,https://youtube.com/watch?v=BoKz0BWQ9wA
Pierre Deutschmann,Perceval (Luigi Madonna Remix) [UNRILIS],1,1,2016-06-13,2016-06-13,https://youtube.com/watch?v=kFuYXlc-c-s
Gary Beck,Hentzi (Original Mix) [BEK AUDIO],2,2,2016-06-13,2016-06-14,https://youtube.com/watch?v=1I9niwsMggc
Inigo Kennedy,Filaments,2,2,2012-02-26,2016-06-13,https://youtube.com/watch?v=YMVl43hHMLw
James Ruskin,Into A Circle [Jealous God 002],7,7,2014-01-03,2016-06-13,https://youtu.be/_5NWxZkPKas
Punctum,Transeat [FIDES 004],1,1,2016-06-13,2016-06-13,https://youtube.com/watch?v=VjoZHc-iYWg
Tadeo,Apollo 7 (Original Mix) [TOKEN],1,1,2016-06-13,2016-06-13,https://youtu.be/G1XF4cLM5lA
Underworld,Born Slippy .NUXX  (Trainspotting),1,1,2016-06-13,2016-06-13,https://youtube.com/watch?v=a5vVgqVRK8c
,Login Exact (Matt O'Brien Remix),3,3,2013-08-27,2016-06-13,https://youtube.com/watch?v=UHWolbgI-Fg
AFX,Boxing Day,1,1,2016-06-13,2016-06-13,https://youtube.com/watch?v=nqQEfRat840
Reeko,Moon Direction [Modularz],1,1,2016-06-13,2016-06-13,https://youtube.com/watch?v=KXD8MbCmC8Q
Heiko Laux,Dry Me,4,4,2016-02-01,2016-06-13,https://youtube.com/watch?v=3WYF4Laa1CA
"Midland ""Blush""",Boiler Room Debuts,2,2,2016-05-02,2016-06-19,https://youtu.be/89mwfPTQviQ
Dax J,The Invisible Man,6,6,2015-11-09,2016-06-08,https://youtube.com/watch?v=sMOwaH3NoEU
Manni Dee,Cameron On A Guillotine | [LEYLA006],1,1,2016-06-08,2016-06-08,https://youtube.com/watch?v=tMBAtF_pR4Y
Ansome,Dragon's Dynamite (Perc Remix) [THEM003],1,1,2016-06-08,2016-06-08,https://youtube.com/watch?v=933M7ydeI4E
Debbie Jacobs,Don't You Want My Love? (MCA Records 1979),13,13,2013-08-12,2017-07-31,https://youtube.com/watch?v=uROYHGheSQg
Developer,Olympian 1.2,3,3,2015-11-22,2016-06-07,https://youtu.be/NsYJkJ6rp5k
Junior Boys,Work (Marcel Dettmann Remix),12,12,2010-11-08,2016-06-07,https://youtube.com/watch?v=-G8lzwOocgw
2000 And One,Tropical Melons,2,2,2015-06-24,2016-06-07,https://youtube.com/watch?v=A_K2PzZN0YU
ITAL,Toxic Work Environment Preview by Gang Of Ducks,1,1,2016-06-06,2016-06-06,https://soundcloud.com/gang-of-ducks/ital-toxic-work-environment-preview
Morgan,Flowerchild (Adam Beyer's remix 1) - Flowerchild EP,1,1,2016-06-06,2016-06-06,https://youtu.be/BZguJ14_dJI
,"ENNIO MORRICONE -""Il Triello (The Trio)"" (1966)",2,2,2016-06-06,2016-06-06,https://youtube.com/watch?v=cWo__6Xn6Qs
Audion,Mouth to Mouth (Original Mix),6,6,2014-11-17,2016-06-06,https://youtube.com/watch?v=l8o9gWbhFEQ
,Voiski- From Sea To Sea,5,5,2014-06-23,2016-06-06,https://youtube.com/watch?v=D8pTO6Cht6Y
Tin Man,Nonneo (Donato Dozzy Remix) (2011),2,2,2015-10-19,2016-06-13,https://youtu.be/COTZGbcS5BQ
Thomas Hessler,Perception,5,5,2014-08-25,2016-06-06,https://youtube.com/watch?v=UarLahNnP84
HU,Som Sám,2,2,2015-09-14,2016-06-06,https://youtube.com/watch?v=77no00WCc54
Show Me Love,Robin S 1993,5,5,2014-05-26,2016-09-05,https://youtube.com/watch?v=7X3YpXiI5dM
Panther Moderns,Steve Moore,1,1,2016-06-06,2016-06-06,https://youtu.be/s8vU94Jd618
SHXCXCHCXSH,Rudimental Retreat,1,1,2016-06-06,2016-06-06,https://youtu.be/r4hmDbyuYSU
Inigo Kennedy,The Shepard Tones - Unknown Landscapes Vol 3 - PoleGroup35CD,2,2,2016-05-17,2016-06-06,https://youtu.be/_KFV3IdmmSc
SHXCXCHCXSH,This Hmming Raverie,2,2,2015-01-19,2016-06-06,https://youtu.be/A2HjC0eVRwo
Carl Taylor,[A1] Debbie's Groove (Robert Hood Remix),9,9,2015-10-26,2017-03-20,https://youtube.com/watch?v=uKTsg7gkKRM
+Plattform,Signal,5,5,2016-01-04,2016-06-06,https://youtu.be/1xU9fRhdK6Q
,DVS1 Klockworks 05 Running,18,18,2010-09-01,2016-06-06,https://youtube.com/watch?v=8LBPeXCFZwg
Espen Lauritzen,F/T/S,9,9,2013-07-12,2016-06-06,https://youtu.be/lwhxIaxJNLI
Christian Morgenstern,Hawaii Blue [FRT 09 CD 2001],3,3,2014-01-07,2016-06-06,https://youtube.com/watch?v=qm363nGkZ6M
Audion,Mouth To Mouth,5,5,2012-11-14,2016-06-06,https://youtube.com/watch?v=GcwcxuugE0Y
Underworld,Born Slippy (Trainspotting Soundtrack),1,1,2016-06-06,2016-06-06,https://youtube.com/watch?v=ZReu9QJ0Wok
Kraftwerk,Tour De France 03 (Long Distance Version 2),1,1,2016-06-06,2016-06-06,https://youtube.com/watch?v=n_RsT1nN2p4
Caustic Window,The Garden Of Linmiri (1993),1,1,2016-06-06,2016-06-06,https://youtube.com/watch?v=L7tdyj8LgoY
SHXCXCHCXSH,LTTLWLF,2,2,2014-02-18,2016-06-06,https://youtube.com/watch?v=CQuBwx7yOXA
Oliver Ho,A2 Untitled (Light and Dark Part Eight) [LD008] (2005),3,3,2015-07-13,2016-06-06,http://youtu.be/yDKgDw96RmQ
Benny Rodrigues,The Choice Is Mine (Rødhåd Remix),3,3,2015-03-02,2016-06-06,https://youtube.com/watch?v=Q1cpqYC-LlU
Pearson Sound,Thaw Cycle,2,2,2016-06-02,2016-09-26,https://youtube.com/watch?v=vb2RRzT2XS0
Steve Rachmad aka Sterac,Sinosphere,2,2,2016-04-18,2016-06-01,https://youtube.com/watch?v=WhaBhw8A-iA
Eurythmics,Sweet Dreams (Are Made Of This) (Official Video),4,4,2016-06-01,2017-07-31,https://youtube.com/watch?v=qeMFqkcPYcg&feature=youtu.be
Robert Hood,Stark Reality,2,2,2014-01-20,2016-06-01,https://youtube.com/watch?v=X2B3EDOvLwc
Maurizio,"""Domina""(maurizio mix)",4,4,2015-01-26,2016-05-31,https://youtube.com/watch?v=V0838o4YtqY
Underground Resistance,Hardlife (Aaron Carl remix),3,3,2014-09-30,2016-05-31,https://youtube.com/watch?v=PawdjPZ_AxA
Voiski,Ad Infinitum,8,8,2012-04-30,2016-05-31,https://youtube.com/watch?v=lfT0-SxwNDo
,Paul Kalkbrenner Steinbeisser,2,2,2015-07-19,2016-06-06,http://youtu.be/krAUwzetWRc
The Subjective,Critical,1,1,2016-05-31,2016-05-31,https://youtube.com/watch?v=AxeV_VnUGY8
Levon Vincent,Woman is an Angel,3,3,2015-04-13,2016-05-30,https://youtu.be/A0a7k1kJXNw
Surgeon,Floorshow (Part 1.2),4,4,2012-08-27,2016-05-30,https://youtube.com/watch?v=yhJ4Kgn6UhE
Der Zyklus,Formenverwandler (Shapeshifter),2,2,2016-03-01,2016-05-30,https://youtube.com/watch?v=kBKRYBwguqk
Developer,1975 A (Reeko Remix) [POLEGROUP],1,1,2016-05-30,2016-05-30,https://youtube.com/watch?v=SEN53h04QdA
Ø [Phase],Blind Eye (Original Mix) [Token],1,1,2016-05-30,2016-05-30,https://youtube.com/watch?v=i8S9zCmTGNE
Alan Fitzpatrick,The Catalyst,1,1,2016-05-30,2016-05-30,https://youtube.com/watch?v=D1BwZBUN8SE
BAMBOUNOU,EACH OTHER [50WEAPONS],2,2,2016-01-23,2016-05-30,https://youtube.com/watch?v=ti8gbQHawqk
Robert Hood,One Touch (Taken from Minimal Nation) (Mark Broom Edit) [M-PLANT],6,6,2014-04-14,2016-05-30,https://youtube.com/watch?v=SYwnq8ns3nE
,2000 & One [HD] Adonai Elohim,2,2,2015-04-19,2016-05-30,https://youtube.com/watch?v=UcPZsmXtKlg
Skee Mask,Shred 08,1,1,2016-05-29,2016-05-29,https://youtu.be/PXFdwsvhg4Q
Ignacio,Darkness,1,1,2016-05-29,2016-05-29,https://youtube.com/watch?v=GtZrbxlEnzI
Marcus Mixx,Without Makeup (Ron Hardy Mix),3,3,2012-02-16,2016-05-29,https://youtube.com/watch?v=u49AtRoa70A
,Fever Ray 'Keep The Streets Empty For Me',2,2,2016-05-23,2016-05-26,https://youtu.be/jWFb5z3kUSQ
The Human League,Don't You Want Me,2,2,2016-05-24,2016-08-16,https://youtube.com/watch?v=uPudE8nDog0
TH0M45 KR0M3,C0D3 R3D 01 (A-Side),1,1,2016-05-24,2016-05-24,https://youtube.com/watch?v=NjViGtB19uw
"Steve ""Silk"" Hurley",Jack Your Body,2,2,2010-10-04,2016-05-24,https://youtube.com/watch?v=mQcg-dRg5h4
Viers,Lain,1,1,2016-05-24,2016-05-24,https://youtube.com/watch?v=BTOeUAFAzxw
Equinox,"""Into Battle"" (Joey Beltram Remix)",2,2,2014-08-11,2016-05-24,http://youtube.com/watch?v=wLvhYbO4je8
Truncate,Pad Mode,9,9,2012-03-05,2016-05-24,https://youtu.be/9JpLnBz7ORM
Patrick Siech,Zorro,2,2,2016-05-23,2016-05-24,https://youtube.com/watch?v=xiOuZGlW2sg
Leftfield,Phat Planet (Dave Clarke Remix),1,1,2016-05-23,2016-05-23,https://youtube.com/watch?v=GWvubWB11Yc
STL,Silent State,11,11,2012-01-24,2016-05-23,https://youtube.com/watch?v=72HZ8t5oN88
Sterac,Rotary (Original Mix),1,1,2016-05-23,2016-05-23,https://youtube.com/watch?v=fErdDU25Ao4
Emmanuel,Apn++,5,5,2014-12-15,2016-05-23,https://youtube.com/watch?v=HFtJG9ceKoM
Hugh Masekela,Don't Go Lose It Baby (Stretch Mix),4,4,2014-02-15,2016-07-12,https://youtu.be/0JBVgNTz21M
Ness,Hololoop (Original Mix) [EARTOGROUND RECORDS],1,1,2016-05-17,2016-05-17,https://youtube.com/watch?v=CiieCERaFxo
,"Anetha ""Last Evening"" Work Them Records 2015",1,1,2016-05-16,2016-05-16,https://youtube.com/watch?v=59EhuasGqUs
Kobosil,Avernian [Ostgut Ton 091],3,3,2016-02-15,2016-05-16,https://youtube.com/watch?v=kDLJQNSq5Pw
"Kerrier District ""Techno Disco (KiNK Remix)""",Boiler Room Debuts,2,2,2016-04-25,2016-05-16,https://youtube.com/watch?v=nZq1qsbCTuY
Daniel Avery,Reception (Perc Remix),2,2,2014-02-16,2016-05-16,https://youtu.be/zjioy-NyA54
DERRICK MAY,Kaotic Harmony.,2,2,2014-05-08,2016-05-16,https://youtube.com/watch?v=i3l6sl6ooCI&feature=share
Pfirter,Iteration,3,3,2013-09-30,2016-05-16,https://youtube.com/watch?v=fc_6t09lcII
Perc & Truss,Leather & Lace by Truss // MPIA3,1,1,2016-05-16,2016-05-16,https://soundcloud.com/truss/perc-truss-leather-lace
Mental Resonance,Reduction,3,3,2016-04-05,2016-05-16,https://youtube.com/watch?v=EWQc-ogjRC8
,Kobosil | Avernian [Ostgut Ton 2015],4,4,2015-11-23,2016-05-16,https://youtu.be/7urBRU8pHjs
Cassegrain,Serpent [Krake 001],1,1,2016-05-15,2016-05-15,https://youtube.com/watch?v=R0SckKYtpsk
Deetron feat. Seth Troxler,Love Song,1,1,2016-05-09,2016-05-09,https://youtube.com/watch?v=iq75m5HQKJs
Eduardo de la Calle,Quasi-calligraphic,3,3,2013-12-16,2016-05-10,https://youtube.com/watch?v=vaAlD0-2kU4
Jeff Mills,4Art,2,2,2013-09-14,2016-05-09,https://youtube.com/watch?v=tMqOI-SCvxY
Ekserd,Hidden Document II (Svreca Remix),6,6,2015-03-09,2016-05-09,https://youtube.com/watch?v=XnHj9FV_KHM
Ø [Phase],Dirtro II (Original Mix) [TOKEN],3,3,2013-12-09,2016-05-09,https://youtube.com/watch?v=aZIMbb4pFWw
THEO PARRISH Falling up,CARL CRAIG remix,22,22,2010-04-18,2016-05-09,https://youtube.com/watch?v=AG-h27tajtg
,Steve Rachmad ‎- I Am A Machine,2,2,2016-03-29,2016-05-09,https://youtube.com/watch?v=jU6IMKqnE44
Kyle Hall,Spoof,3,3,2014-02-05,2016-05-05,https://youtube.com/watch?v=adPzKwoU3Zw
Rødhåd,The Wall [DYSTOPIAN 004],10,10,2013-07-15,2016-05-09,https://youtube.com/watch?v=1WPR7EgYGBU
DJ QU,MIXING ROOM,7,7,2013-12-16,2016-09-07,https://youtu.be/eShOi9pMofA
,T++  Audio1995#8,4,4,2014-05-19,2016-05-03,https://youtu.be/G1OQ2t4RfOo
D'Marc Cantu,Some Fantasies Are Good (DVS1 Remix),3,3,2013-06-17,2016-05-02,https://youtu.be/Hv42Hpo-v8E
The Exaltics,Evolution Of The Wrong Species,1,1,2016-05-02,2016-05-02,https://youtube.com/watch?v=uh3pMCUAPEI
,Kraftwerk- Radioactivity,1,1,2016-05-02,2016-05-02,https://youtu.be/095iyCeJSbs
,"EXIUM ""Complex"" (ROLANDO RMX) POLE RECS. 009 2011",2,2,2014-11-17,2016-05-02,https://youtube.com/watch?v=SKS1Ju9ZTwI
Planetary Assault Systems,Strange Attractor,3,3,2015-03-09,2016-05-02,https://youtube.com/watch?v=db3WWnP3miI
DVS1,Lost Myself (HUSH 02),10,10,2014-03-09,2016-05-02,https://youtube.com/watch?v=zN7WQhdeNdk
Blind Observatory,Over [Gravitational],2,2,2016-02-01,2016-05-01,https://youtube.com/watch?v=VdOpWnuhkL4
Maurizio,Ploy (UR Mix),1,1,2016-05-01,2016-05-01,https://youtube.com/watch?v=wQHTa71znqI
,"PATRICK COWLEY & JORGE SOCARRAS ""Robot children""",1,1,2016-05-01,2016-05-01,https://youtube.com/watch?v=g2V9wqKRkfk
Rrose,The Surgeon General (No Child Left Behind),2,2,2012-08-19,2016-05-01,https://youtube.com/watch?v=f-Ls8xQiR7M
Armand Van Helden,necessary evil,2,2,2016-03-20,2016-05-01,https://youtu.be/hi4COkvo3IM
,Kangding Ray AMBER DECAY,4,4,2015-05-24,2016-05-01,https://youtu.be/LO40CaFEG5Y
TECHNO: Dillon,A Matter Of Time (Marcel Dettmann Remix) [BPitch],2,2,2014-08-21,2016-05-01,https://youtube.com/watch?v=zjA92TgpY_Q
"Lee J Malcolm, James Ruskin",One Star Applicant (James Ruskin Remix) [EPM32],1,1,2016-05-01,2016-05-01,https://youtube.com/watch?v=b3RNLRgguyw
Urbano,Protect The Revolution [LNTHN004],1,1,2016-04-28,2016-04-28,http://youtu.be/i_hoWqeFi7w
VSK,1.1 Complex Mix [Complex Adaptive Systems 001],4,4,2014-12-15,2016-04-26,https://youtube.com/watch?v=8fyBcRT4LWY
Unknown Artist,303.002 [PLANETRHYTHM303],1,1,2016-04-25,2016-04-25,http://youtu.be/V5iQqqnnjn0
The Horrorist,One Night In New York City (Uncensored),2,2,2015-09-14,2016-04-25,http://youtu.be/oVgjC5Gw8y0
Dax J,Wir Leben Für Die Nacht [MONNOMBLACK009],1,1,2016-04-25,2016-04-25,https://youtube.com/watch?v=aX_pDFUAhZ8
Ekman,GMMDI (Breaker 1 2 remix),2,2,2015-06-01,2016-04-24,http://youtu.be/4KV7YNq-yqs
Function,Montage,2,2,2013-06-16,2016-04-18,https://youtube.com/watch?v=e1UPnrjDp9g
DJ Milton,Clap Your Hands,2,2,2016-02-02,2016-04-18,https://youtube.com/watch?v=W14yhUghFCo
Ritzi Lee,Above Is Below [47 003],1,1,2016-04-18,2016-04-18,http://youtu.be/bgX1AdpjB3g
Amotik,Che [AMTK002],1,1,2016-04-18,2016-04-18,https://youtube.com/watch?v=7iLBYAwS3qE
D-Leria,Conflict [NST113],1,1,2016-04-18,2016-04-18,https://youtube.com/watch?v=cfpzZH78Ak8
"Aphex Twin, Analord 11",VBS.Redlof.B.,2,2,2014-08-06,2016-04-18,https://youtube.com/watch?v=u3sQlgtKw0A
You Spin Me Round (Like a Record),Dead Or Alive | Full HD |,5,5,2015-01-12,2016-04-18,https://youtube.com/watch?v=iZACBEW_B8s
Rumah & Progression,SC1,2,2,2015-10-05,2016-04-18,https://youtube.com/watch?v=-xtMYZkwQlc
Heiko Laux,The Silent Bass (Extended Version).avi,1,1,2016-04-18,2016-04-18,https://youtube.com/watch?v=5ZDXCDkU1Hc
Richie Hawtin,Call It What You Want !,3,3,2014-07-28,2016-04-18,https://youtube.com/watch?v=nzrHw1GOfPs
Massive Attack,Unfinished Sympathy,4,4,2014-06-09,2016-08-08,https://youtube.com/watch?v=ZWmrfgj0MZI
Luke Slater,Body Freefall (Luke Slater's Needle Damage Mix),1,1,2016-04-18,2016-04-18,https://youtu.be/E40jWqW3xS8
Pär Grindvik,Help Me Shiver (Original Mix) [STOCKHOLM LTD],1,1,2016-04-17,2016-04-17,https://youtube.com/watch?v=NdltNVxcF_I
Detroit In Effect,Shake A Lil Faster,1,1,2016-04-17,2016-04-17,https://youtube.com/watch?v=ZQSbFHS9RA4
Lag,Kontrola (Bas Mooy Remix) [MORD],4,4,2014-12-15,2016-04-17,https://youtube.com/watch?v=epSpHCXYIM0
Ansome,Penny & Pound [MORD010],6,6,2014-09-15,2016-04-17,https://youtu.be/sc-EZUUxTx8
Shards,MRDMRDMRD [MORDBOX001],2,2,2015-12-14,2016-04-15,https://youtu.be/QcOxPB7sOjE
Eight Miles High,"""Razorsharp""",1,1,2016-04-12,2016-04-12,https://youtube.com/watch?v=-0-gEITHVKk
Sawlin,Eviment [Ann Aimee],1,1,2016-04-12,2016-04-12,https://youtube.com/watch?v=RwBGcqI41yE
Substance,Keine Angst [Ostgut Ton LP 20 03],1,1,2016-04-11,2016-04-11,https://youtu.be/234jshankqk
Lemon 8,Model 8 (Remix),14,14,2011-07-18,2016-04-11,https://youtube.com/watch?v=PFV5fp6tEAY
Johannes Heil,Lifesigns Pt.2 [Figure],2,2,2016-02-08,2016-04-11,https://youtu.be/XX7ASP3Xm4Q
