track_no,content_id,artist,title,label,genre,bpm,key
63,90931458,Daniel Kovac,Gir (Funk E Reconstruction),Do Easy Records,Tech House,124.88,F#m
64,261351088,"DeWalta, Mike Shannon",Tauben Summer,Indigo Raw,Deep House,125.0,Ebm
65,193699565,"Eduardo De La Calle, Romina Cohn",I'm Losing My Mind (Original Mix) ,Cocoon Recordings,Minimal,125.98,Gm
66,246181868,Fango,Corsa di Notte (Original Mix),Cocoon Recordings,Indie Dance,130.0,Ab
67,238569068,Guy From Downstairs,Tool Avec Moi,Cadenza,Minimal,127.0,C
68,147625671,Gzardin,Hentroduction (Original Mix),R.A.N.D. Muzik Recordings,Deep House,125.0,F#
69,261063849,Gzardin,Part Time Shed (Original Mix),R.A.N.D. Muzik Recordings,Indie Dance,130.0,Ebm
70,244059673,Markus Suckut,Untitled #1 (Original Mix),Rekids,Techno,128.0,Abm
71,32479078,N-GYNN,Pandemic ,Superlux Records,Deep House,128.0,Dbm
72,209040336,"NDA, Bryan Kessler, Ennio",Black Pepper Knees feat. NDA (Ft. NDA),Buto Bayang,Tech House,130.0,Em
73,224658226,Nicola Cruz,Vessel,Kalahari Oyster Cult,Techno,126.0,Cm
74,243941555,Phil Asher & James Massiah,Time & Space,Rekids,Techno,121.0,Bbm
75,45920875,Soul of Hex,Square Bounce,DFTD,House,123.0,Am
76,3597619,Timmy S & JB,Hot Lumps (Original Mix),Holding Hands Records,Tech House,130.87,Fm
77,37484114,Trevor Rockcliffe,A Sound Called House 2021 Pt2 ,Mentor Records,House,125.0,F#
78,45616211,Voigtmann,Leftfoot Lover (Original Mix),Phonica AM,Tech House,131.0,Dm
79,42406427,WALKER,Untitled A,Holding Hands Records,House,132.85,C
80,46152538,WALKER,Untitled B (Desert Sound Colony Remix),Holding Hands Records,House,128.0,Abm
81,213431949,WALKER,Untitled B,Holding Hands Records,House,122.41,Gm
82,30070366,Wallace,Cravings (Love Letters Remix),Phantasy Sound,House,124.0,Gm
83,19781960, Tecture,030 To 313 Vinyl Only,Beste Modus,Minimal,122.98,Dbm
84,113411440,E2 Coldfish,30122011 VINYL ONLY ,All Inn,Minimal,124.0,F#m
85,215658703,Unknown Artist,A Untitled VINYL ONLY ,Hostom,Tech House,124.82,Ebm
86,127124366,Philip Chernikov,A1 90’S Child VINYL ONLY ,Fraise Records,Deep House,129.99,Dm
87,204105812,SnPLO,A1 A VINYL ONLY ,pin,Minimal,133.0,Gm
88,157245370,Traumer,A1 Bau Match VINYL ONLY ,All Inn,Minimal,125.0,Abm
89,213410014,Minimal Man,A1 Chicken Store + Chickapella VINYL ONLY ,Perlon,Minimal,133.06,Abm
90,161569402,Eddie Richards,A1 Dark 1 2 (Unreleased Re-Edit) VINYL ONLY ,Repeat,Tech House,129.98,Am
91,225529933,Ricky Montanari,A1 Open Your Mind (Original 1995 Mix) VINYL ONLY ,Bar Musica,House,123.79,Abm
92,179971011,Soul Capsule,A1 Overcome VINYL ONLY ,Trelik,Minimal,124.85,Bm
93,210961430,Subb-an,A1 Push VINYL ONLY ,Blind Box Series,Tech House,126.0,Fm
94,39990548,Lumieux,A1 Put It Out VINYL ONLY ,Purple Print,Minimal,125.99,F#m
95,118310817,Unknown Artist,A1 Walking Through Clouds VINYL ONLY ,Rayonas,House,127.99,Ab
96,208176618,Doubtingthomas,A2 Good Words VINYL ONLY ,Dokutoku Records,Tech House,125.99,Ebm
97,206118062,Rh.cher,A2 Gwen (Edward Remix) VINYL ONLY ,SECRET SOCIETY CHILE,Minimal,128.0,D
98,127324515,Alex Font,A2 Hablame De Ti (Arapu Remix) VINYL ONLY ,Purple Print,Tech House,128.0,Am
99,234839618,Costin Rp,A2 Nabas VINYL ONLY ,Purple Print,Minimal,125.0,Gm
100,81395169,Philip Chernikov,A2 Nyker VINYL ONLY ,Fraise Records,Deep House,129.94,Fm
101,55762655,"E1 Mathew Jonson, Marc Schneider, Mike Shannon",All Wheel Drive VINYL ONLY ,Cynosure,Minimal,124.0,Abm
102,14160277,Pola,Altitude Remix - Double Wedding VINYL ONLY,All Inn,Minimal,123.98,Ebm
103,244693222,F1 Verrina & Ventura,Asinello VINYL ONLY ,Rockets Audio,Minimal,127.0,Am
104,35627918,Submod,B1 Caspar VINYL ONLY ,Ethernal,Minimal,123.99,F#m
105,148214011,Pola,B1 Double Wedding VINYL ONLY ,All Inn,Minimal,124.0,Ebm
106,167773094,Ortella,B1 Echec Et M VINYL ONLY ,Mad In Lyon,Tech House,122.98,F#m
107,71252033,Dan Formless,B1 Fried All Day (Alex Arnout Remix) VINYL ONLY ,Bank of Switches,Tech House,129.49,D
108,193437230,Oshana,B1 Ignus Fatuus (Verrina & Ventura Remix) VINYL ONLY ,BodyParts Vinyl,Minimal,124.0,Am
109,75378552,Subb-an,B1 Indulge VINYL ONLY ,Blind Box Series,Tech House,127.0,Bbm
110,143220637,Unknown Artist,B1 Like This VINYL ONLY ,Rayonas,Deep House,127.98,Am
111,57164200,Giuliano Lomonte,B1 Moonlight VINYL ONLY ,raum...musik,House,129.86,Dbm
112,111267568,Lo:za,B1 Mystic Dream (Nu Zau Remix) VINYL ONLY ,Lok Records,Minimal,127.0,C
113,241302855,Cosmjn,B1 Nancy Byoss VINYL ONLY ,Nervous Records,Tech House,128.0,Fm
114,48276319,Manuel De Lorenzi,B1 The Question Is (Jay Tripwire Remix) VINYL ONLY ,Monday Morning,Minimal,127.98,Fm
115,182277358,Barac,B1 We Are Getting Closer Again VINYL ONLY ,Moonrover Records,Minimal,129.08,Fm
116,134770017,Goutham & Jeremy,B2 2nd Wind VINYL ONLY ,Nothing But Nice,House,127.65,Bb
117,142511427,Submod,B2 Caspar (Diego Krause Remix) VINYL ONLY ,Ethernal,Minimal,128.98,Fm
118,33404140,Levi Verspeek,B2 Hmmm VINYL ONLY ,Slapfunk Records,Minimal,123.0,Gm
119,138197309,Modbox ,B2 Hunching VINYL ONLY ,,Minimal,128.98,Am
120,3369566,Giuliano Lomonte,B2 One Step Ahead VINYL ONLY ,raum...musik,Tech House,127.93,Dbm
